abandon|放弃
ability|能力
able|能够的
about|关于
above|在...上方
abroad|在国外
absence|缺席
absent|缺席的
absolute|绝对的
absorb|吸收
abstract|抽象的
absurd|荒谬的
abundant|丰富的
abuse|滥用
academic|学术的
accept|接受
access|进入；通道
accident|事故
accompany|陪伴
accomplish|完成
according|根据
account|账户；说明
accurate|准确的
accuse|指控
achieve|实现
acknowledge|承认
acquire|获得
across|横过
act|行动；法案
action|行动
active|积极的
activity|活动
actual|实际的
adapt|适应
add|增加
addition|加法；添加
additional|额外的
address|地址；致辞
adequate|足够的
adjust|调整
administration|管理
admire|钦佩
admit|承认；准许进入
adopt|采用；收养
adult|成人
advance|前进；进步
advanced|高级的
advantage|优势
adventure|冒险
advertise|做广告
advice|建议
advise|忠告
affect|影响
afford|负担得起
afraid|害怕的
after|在...之后
afternoon|下午
again|再次
against|反对
age|年龄
agency|机构
agenda|议程
agent|代理人
aggressive|侵略性的；积极进取的
ago|…之前
agree|同意
agreement|协议
agriculture|农业
ahead|在前
aid|援助
aim|目标；瞄准
air|空气
airline|航空公司
airport|机场
alarm|警报
album|相册；专辑
alcohol|酒精
alive|活着的
all|全部
allow|允许
almost|几乎
alone|独自的
along|沿着
already|已经
also|也
alternative|替代的；二选一的
although|虽然
always|总是
amazing|惊人的
ambition|雄心
amount|数量
amuse|使娱乐
analysis|分析
analyze|分析
ancient|古代的
and|和
anger|愤怒
angle|角度
animal|动物
announce|宣布
annual|年度的
another|另一个
answer|回答；答案
anxiety|焦虑
any|任何
anyone|任何人
anything|任何东西
anyway|无论如何




